,re_avg,pre_avg,re_std,pre_std,re_rel_error,pre_rel_error,thresh
0,0.58,0.69,0.01784028761172211,0.012148506364839705,0.06028786848099196,0.034508800688530177,0.5
1,0.49,0.72,0.019678449616530907,0.015916448515084444,0.07871379846612363,0.043328109846618765,0.55
2,0.41,0.75,0.01849510652895087,0.01670914127951676,0.08841563121157002,0.043666555877137136,0.6
3,0.3,0.81,0.017498768429570235,0.025042492623171684,0.1143252870731922,0.06059664881656358,0.65
4,0.23,0.88,0.016760654528683687,0.029448962279006466,0.1428299255487827,0.0655908705305144,0.7
5,0.14,0.9,0.015421286974634216,0.03614148442651081,0.215898017644879,0.07870812163995686,0.75
6,0.08,0.95,0.01188546876720022,0.03403176339157625,0.29119398479640535,0.0702129013131468,0.8
7,0.03,0.96,0.006477192523656044,0.04485096649351381,0.4231765782121949,0.0915707232575907,0.85
8,,0.67,0.001825741858350554,0.47946330148538413,inf,1.4026090610617208,0.9
9,,,,,,,0.95
